note,id,main,body,weapon_left,weapon_right,half_image,dead_show,dizziness_show,knockup_show,repulse_show,silent_show,poison_show,firing_show,relive_show,invincible_show,born_show,exit_show,victory_show,confine_show,hp50_show,mass,shadow,shadow_scale,height_offset,behit_sound,scale
注释,皮肤ID,主框架,身体,左手武器,右手武器,半身像（用于剧情系统）,死亡表现,眩晕表现,击飞表现,击退表现,沉默表现,中毒表现,灼烧表现,复活表现,无敌表现,出场表现,退场表现,胜利表现,禁固表现,一级损毁表现（50%血量）,质量,脚底阴影,脚底阴影缩放,高度偏移,受攻音效,整体缩放
string,number,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,number,string,number,number,string,number
赵云,1,assetbundle/zhaoyun01(animatormodel).animatormodel,,,,gaine_001,AssetBundle/tx_zy01_die01(matinee).matinee,AssetBundle/tx_zy01_vertigo01(matinee).matinee,AssetBundle/tx_zy01_fly01(matinee).matinee,AssetBundle/tx_zy01_back01(matinee).matinee,,,,,,,,AssetBundle/tx_zy01_win01(matinee).matinee,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
夏侯惇,2,assetbundle/caoren(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
孙尚香,3,assetbundle/caoren(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
第一章要攻击的城门上层,11,assetbundle/hjl01_logic01a(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,AssetBundle/tx_hjl01_broken01(matinee).matinee,100000,,-1,0.16,,1
第一章要攻击的城门下层,12,assetbundle/hjl01_logic01b(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,AssetBundle/tx_hjl01_broken01(matinee).matinee,100000,,-1,0.16,,1
第一章要攻击的城门中层,13,assetbundle/hjl01_logic01c(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,AssetBundle/tx_hjl01_broken01(matinee).matinee,100000,,-1,0.2,,1
第一章要守的城门上层,14,assetbundle/hjl01_logic03a(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,AssetBundle/tx_hjl01_broken01(matinee).matinee,100000,,-1,0.16,,1
捕兽夹,15,assetbundle/hjl01_logic03(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
