note,id,name,avatar,icon,type,kind,lv,dizziness_show,knockup_show,silent_show,poison_show,firing_show,mass,shadow,shadow_scale,ai,skill0,skill1,skill2
注释,怪物ID,怪物名字,怪物形象,怪物头像,类型(0:NPC 1:普通怪 2:精英怪 3:BOSS）,兵种,等级,眩晕表现,击飞表现,沉默表现,中毒表现,灼烧表现,质量,脚底阴影,脚底阴影缩放,ai参数,普攻,技能1,技能2
string,number,string,number,string,number,number,number,string,string,string,string,string,number,string,number,number,number,number,number
刀兵,1,monster_1,2,-1,1,-1,1,-1,-1,-1,-1,-1,2.2,AssetBundle/characters_shadow(gameobject).gameobject,1,2,7,7,-1
枪兵,2,monster_2,3,-1,1,-1,2,-1,-1,-1,-1,-1,2,AssetBundle/characters_shadow(gameobject).gameobject,1,2,7,7,-1
城门,3,monster_3,2,-1,1,-1,3,-1,-1,-1,-1,-1,2.2,AssetBundle/characters_shadow(gameobject).gameobject,1,3,7,1,-1
护送,4,monster_4,2,-1,1,-1,4,-1,-1,-1,-1,-1,2.2,AssetBundle/characters_shadow(gameobject).gameobject,1,4,7,1,-1
士兵,5,monster_5,2,-1,1,-1,5,-1,-1,-1,-1,-1,2.2,AssetBundle/characters_shadow(gameobject).gameobject,1,5,7,1,-1
#注释,6,monster_6,2,-1,1,-1,6,-1,-1,-1,-1,-1,2.2,AssetBundle/characters_shadow(gameobject).gameobject,1,2,1,1,-1
#注释,7,monster_7,2,-1,1,-1,7,-1,-1,-1,-1,-1,2.2,AssetBundle/characters_shadow(gameobject).gameobject,1,2,1,1,-1
#注释,8,monster_8,2,-1,1,-1,8,-1,-1,-1,-1,-1,2.2,AssetBundle/characters_shadow(gameobject).gameobject,1,2,1,1,-1
#注释,9,monster_9,2,-1,1,-1,9,-1,-1,-1,-1,-1,2.2,AssetBundle/characters_shadow(gameobject).gameobject,1,2,-1,-1,-1
##测试##,,,,,,,,,,,,,,,,,,,
,10,test_10,2,-1,1,-1,1,-1,-1,-1,-1,-1,2.2,AssetBundle/characters_shadow(gameobject).gameobject,1,2,7,7,-1
##正文##,,,,,,,,,,,,,,,,,,,
刀兵,1001,黄巾刀兵,2,-1,1,-1,1,-1,-1,-1,-1,-1,2.2,AssetBundle/characters_shadow(gameobject).gameobject,1,2,7,7,-1
枪兵,1002,黄巾枪兵,3,-1,1,-1,2,-1,-1,-1,-1,-1,2,AssetBundle/characters_shadow(gameobject).gameobject,1,2,9,9,-1
