note,id,quest,step,category,level,pre_quest,type,name,desc,count,time,tar_type,tar_id,focus_hp,focus_skill,focus_pos,callback,param1,param2,param3,param4,param5
注释,参数id,任务id,任务步骤,任务类型(1:主线 2:星级 3:每日),星级,前置任务,玩法类型(1:守城2:攻城3:护送4:击杀5:采集6:解谜),任务名称,任务描述,任务次数(必须),任务时间,目标类型(0:物品 1:玩家 2:副将 3:怪物),指定目标(;分割),关注血量(-1:不关注0:死亡50:低于50%),关注技能,关注X位置(-9999表示非法值),完成回调(完整类名:函数名),回调参数1,回调参数2,回调参数3,回调参数4,回调参数5
string,number,number,number,number,number,number,number,string,string,number,number,number,string,number,number,number,string,string,string,string,string,string
守城,1,1,1,1,1,-1,1,守住,守住我方城墙,1,150,3,3,50,-1,-9999,Demo:ShakeCamera,-1,-1,-1,-1,-1
攻城,2,1,2,1,1,-1,2,攻打,攻打敌方瞭望塔,1,150,1,3,0,8,-9999,Demo:ShakeCamera,-1,-1,-1,-1,-1
护送,3,1,3,1,1,-1,3,保护,护送华佗离开,1,-1,3,4,80,-1,15,Demo:ShakeCamera,-1,-1,-1,-1,-1
击杀,4,2,1,2,1,-1,4,杀戮,消灭方圆土匪,3,150,3,-1,50,-1,-9999,Demo:ShakeCamera,-1,-1,-1,-1,-1
采集,5,2,2,2,1,-1,5,收集,收集麻药,5,-1,1,10,-1,8,-9999,Demo:ShakeCamera,-1,-1,-1,-1,-1
解谜,6,2,3,2,1,-1,6,机关,破解诸葛阵法,1,150,1,2;1,50,8,-9999,Demo:ShakeCamera,-1,-1,-1,-1,-1
##测试##,,,,,,,,,,,,,,,,,,,,,,
区域1,7,3,1,1,1,-1,4,击杀刀兵,击杀刀兵,1,-1,3,1,0,-1,-9999,Demo:ShakeCamera,-1,-1,-1,-1,-1
区域2,8,3,2,1,1,-1,4,击杀枪兵,击杀枪兵,2,-1,3,2,0,-1,-9999,Demo:ShakeCamera,-1,-1,-1,-1,-1
区域3,9,3,3,1,1,-1,4,击杀Boss,击杀Boss,3,-1,3,3,0,-1,-9999,Demo:ShakeCamera,-1,-1,-1,-1,-1
星级1,10,4,1,2,1,-1,4,30秒清理刀兵,30秒清理刀兵,1,30,3,1,0,-1,-9999,Demo:ShakeCamera,-1,-1,-1,-1,-1
星级2,11,5,1,2,1,-1,4,使用技能2次,使用技能2次,2,-1,1,-1,-1,8,-9999,Demo:ShakeCamera,-1,-1,-1,-1,-1
星级3,12,6,1,2,1,-1,6,顺序击杀,急火枪兵,1,60,3,2;1,0,-1,-9999,Demo:ShakeCamera,-1,-1,-1,-1,-1
##正文##,,,,,,,,,,,,,,,,,,,,,,
黄巾乱-区域1目标,10001,10001,1,1,1,-1,4,击杀Boss,清剿黄巾将领,3,-1,3,1,0,-1,-9999,Demo:ShakeCamera,-1,-1,-1,-1,-1
黄巾乱-区域2目标,10002,10001,2,1,1,-1,4,击杀Boss,清剿黄巾将领,3,-1,3,2,0,-1,-9999,Demo:ShakeCamera,-1,-1,-1,-1,-1
黄巾乱-区域1星级目标,10003,10002,1,2,1,-1,4,击杀Boss,清剿黄巾将领,4,-1,3,1,0,-1,-9999,-1,-1,-1,-1,-1,-1
黄巾乱-区域2星级目标,10004,10003,1,2,1,-1,4,击杀Boss,清剿黄巾将领,4,-1,3,2,0,-1,-9999,-1,-1,-1,-1,-1,-1
