id,name,condition_id,cd,target_relation,show,effect_addition,aeffect_addition,citta_id,script_type,param1,param2,param3,param4,param5,range_positive1,range_negative1,max_target_number1,buffid1_1,buffid1_2,buffid1_3,buffid1_4,buffid1_5,buffid1_6,buffid1_7,range_positive2,range_negative2,max_target_number2,buffid2_1,buffid2_2,buffid2_3,buffid2_4,buffid2_5,buffid2_6,buffid2_7,range_positive3,range_negative3,max_target_number3,buffid3_1,buffid3_2,buffid3_3,buffid3_4,buffid3_5,buffid3_6,buffid3_7
技能数据ID,技能名称,释放条件(消耗),冷却时间(秒),目标关系(1:友好的 2：敌对的 3：中立的),表现资源,伤害加成(%),附加伤害加成(%),心法id,技能类型,参数1,参数2,参数3,参数4,参数5,前方攻击范围1,后方攻击范围1,最大目标数1,效果数据ID1(第1次攻击）,效果数据ID2(第1次攻击）,效果数据ID3(第1次攻击）,效果数据ID4(第1次攻击）,效果数据ID5(第1次攻击）,效果数据ID6(第1次攻击）,效果数据ID7(第1次攻击）,前方攻击范围2,后方攻击范围2,最大目标数2,效果数据ID1(第2次攻击）,效果数据ID2(第2次攻击）,效果数据ID3(第2次攻击）,效果数据ID4(第2次攻击）,效果数据ID5(第2次攻击）,效果数据ID6(第2次攻击）,效果数据ID7(第2次攻击）,前方攻击范围3,后方攻击范围3,最大目标数3,效果数据ID1(第3次攻击）,效果数据ID2(第3次攻击）,效果数据ID3(第3次攻击）,效果数据ID4(第3次攻击）,效果数据ID5(第3次攻击）,效果数据ID6(第3次攻击）,效果数据ID7(第3次攻击）
number,string,number,number,number,string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
1,test,1,0,2,assetbundle/skill1(matinee).matinee,0,0,-1,1,0,0,0,0,0,3,0.3,1,1,-1,-1,-1,-1,-1,-1,3,0.3,1,-1,-1,-1,-1,-1,-1,-1,3,0.3,1,-1,-1,-1,-1,-1,-1,-1
2,子弹测试,1,3,2,assetbundle/test(matinee).matinee,0,0,-1,2,0,0,0,0,0,10,0,1,4,-1,-1,-1,-1,-1,-1,10,0,1,-1,-1,-1,-1,-1,-1,-1,10,0,1,-1,-1,-1,-1,-1,-1,-1
3,测试眩晕,1,3,2,assetbundle/skill1(matinee).matinee,0,0,-1,1,0,0,0,0,0,3,0.3,1,3,-1,-1,-1,-1,-1,-1,3,0.3,1,-1,-1,-1,-1,-1,-1,-1,3,0.3,1,-1,-1,-1,-1,-1,-1,-1
4,普攻1,2,0,2,assetbundle/tx_cr01_attack01(matinee).matinee,0,0,-1,1,0,0,0,0,0,2,0,1,4,-1,-1,-1,-1,-1,-1,2,0,1,-1,-1,-1,-1,-1,-1,-1,2,0,1,-1,-1,-1,-1,-1,-1,-1
5,普攻2,2,0,2,assetbundle/tx_cr01_attack02(matinee).matinee,0,0,-1,1,0,0,0,0,0,2,0,1,5,-1,-1,-1,-1,-1,-1,2,0,1,-1,-1,-1,-1,-1,-1,-1,2,0,1,-1,-1,-1,-1,-1,-1,-1
6,普攻3,2,0,2,assetbundle/tx_cr01_attack03(matinee).matinee,0,0,-1,1,0,0,0,0,0,2,0,1,6,-1,-1,-1,-1,-1,-1,2,0,1,6,-1,-1,-1,-1,-1,-1,2,0,1,6,-1,-1,-1,-1,-1,-1
7,刀兵普攻,2,1.5,2,assetbundle/tx_db01_attack01(matinee).matinee,0,0,-1,1,0,0,0,0,0,2,0,1,7,-1,-1,-1,-1,-1,-1,2,0,1,-1,-1,-1,-1,-1,-1,-1,2,0,1,-1,-1,-1,-1,-1,-1,-1
8,曹仁技能,2,5,2,assetbundle/tx_cr01_skill01(matinee).matinee,0,0,1,1,0,0,0,0,0,5,0,5,11,-1,-1,-1,-1,-1,-1,5,0,5,8,9,-1,-1,-1,-1,-1,5,0,5,-1,-1,-1,-1,-1,-1,-1
9,刀兵普攻,2,1.5,2,assetbundle/tx_hjj02_attack01(matinee).matinee,0,0,-1,1,0,0,0,0,0,2,0,1,12,-1,-1,-1,-1,-1,-1,2,0,1,-1,-1,-1,-1,-1,-1,-1,2,0,1,-1,-1,-1,-1,-1,-1,-1
