id,hero_id,buff1,buff2,buff3,name,prob1,prob2,prob3,desc1,desc2,desc3
牵绊ID,牵绊副将id,效果1,效果2,效果3,牵绊名称,属性名1,属性名2,属性名3,描述1,描述2,描述3
number,number,number,number,number,string,string,string,string,string,string,string
1,60000001,,,,术业专攻,青囊,,,受到最终伤害减少固定伤害值,,
2,60000002,,,,术业专攻,青囊,,,受到最终伤害减少固定伤害值,,
3,60000003,,,,扑朔迷离,彪悍,,,普通攻击最终伤害增加固定伤害值,,
4,60000004,,,,术业专攻,青囊,,,受到最终伤害减少固定伤害值,,
5,60000005,,,,术业专攻,青囊,,,受到最终伤害减少固定伤害值,,
6,60000006,,,,后起之秀,古煞,,,普通攻击暴击率增加10%,,
7,60000007,,,,术业专攻,青囊,,,受到最终伤害减少固定伤害值,,
8,60000008,,,,术业专攻,青囊,,,受到最终伤害减少固定伤害值,,
9,60000009,,,,真伪天子,密诏,,,免疫晕眩及麻痹效果，且受到攻击减免3%伤害,,
10,60000010,,,,强者血脉,战神,,,攻击力大于目标时，对目标造成15%的额外伤害,,
11,60000011,,,,一面之缘,据守,,,自身防御增加12%,,
12,60000012,,,,乱世情愫,羞花,,,,,
13,60000013,,,,美女野兽,洛神,,,释放技能时有15%几率恢复固定生命值,,
14,60000014,,,,术业专攻,青囊,,,受到最终伤害减少固定伤害值,,
15,60000015,,,,绝色双姬,天籁,,,所有男性（武将及兵种）的攻击减少15%的伤害,,
16,60000016,,,,术业专攻,青囊,,,受到最终伤害减少固定伤害值,,
