id,name,icon,desc ,getsWay,need_num
id,名称,图标,描述,获取途径,需要数量
number,string,string,string,string,number
31000001,屠戮宝石碎片,prop_J_001_a,击杀单位回复12点生命。,1.活动,20
31000002,眩晕宝石碎片,prop_J_002_a,第四下攻击有28%概率眩晕目标1.5秒,1.活动,20
31000003,破甲宝石碎片,prop_J_003_a,每次攻击有6%概率无视对方护甲,1.活动,20
31000004,暴击宝石碎片,prop_J_004_a,击杀单位后有12%概率暴击提升15%，持续2秒,1.活动,20
31000005,连击宝石碎片,prop_J_005_a,第四下攻击有10%概率造成2次伤害,1.活动,20
31000006,范围宝石碎片,prop_J_006_a,第四下攻击有25%概率造成以目标为中心1米范围内的敌方受到总伤害的10%溅射伤害,1.活动,20
31000007,吸血宝石碎片,prop_J_007_a,第四下攻击吸取造成伤害1%的血量,1.活动,20
31000008,斩杀宝石碎片,prop_J_008_a,第四下攻击有5%概率秒杀小怪,1.活动,20
31100001,反击宝石碎片,prop_J_009_a,被击中时有28%概率反弹150%的总伤害,1.活动,20
31100002,怒气宝石碎片,prop_J_010_a,被击中时回复3点SP,1.活动,20
31100003,反震宝石碎片,prop_J_011_a,被击中时有10%概率震晕攻击者3秒,1.活动,20
31100004,移除宝石碎片,prop_J_012_a,被击中时有5%概率移除减少1随机个技能CD 1秒；,1.活动,20
31100005,免伤宝石碎片,prop_J_013_a,被普通攻击击中时有1%概率免去此次伤害；,1.活动,20
31100006,抵挡宝石碎片,prop_J_014_a,每12秒可以抵达1次伤害效果,1.活动,20
31100007,暴怒宝石碎片,prop_J_015_a,受攻击后有12%概率暴击提升15%，持续2秒，不叠加,1.活动,20
31100008,坚守宝石碎片,prop_J_016_a,生命值少于30%时会获得buffid为Y的buff,1.活动,20
31200001,血精宝石碎片,prop_J_017_a,生命恢复属性增加X,1.活动,20
31200002,精妙宝石碎片,prop_J_018_a,所有技能附加伤害增加X,1.活动,20
31200003,狂斩宝石碎片,prop_J_019_a,增加狂斩伤害X%,1.活动,20
31200004,刀盾格挡宝石碎片,prop_J_020_a,提升刀兵/盾兵攻击的格挡率X；,1.活动,20
31200005,枪骑格挡宝石碎片,prop_J_021_a,提升枪兵/骑兵攻击的格挡率X；,1.活动,20
31200006,弓弩格挡宝石碎片,prop_J_022_a,提升弓兵/弩兵攻击的格挡率X；,1.活动,20
31200007,锤车格挡宝石碎片,prop_J_023_a,提升锤兵/攻城兵攻击的格挡率X；,1.活动,20
31200008,策侍格挡宝石碎片,prop_J_024_a,提升侍女/策士攻击的格挡率X；,1.活动,20
