note,id,stage,lv,critical,critical_defense,move_speed,attack_rate,hp_recovery,alert_range,up_exp
注释,副将ID,品阶(0:0阶 1:1阶 2:2阶),等级,暴击,暴击防御,移动速度,攻击速度,生命恢复速度,警戒范围,升级需要经验值
string,number,number,number,number,number,number,number,number,number,number
,60000001,0,1,0,0,2.4,1,0,5,1000
,60000001,0,2,0,0,2.4,1,0,5,2000
,60000001,0,3,0,0,2.4,1,0,5,4000
,60000001,0,4,0,0,2.4,1,0,5,3000
,60000001,0,5,0,0,2.4,1,0,5,3500
,60000001,0,6,0,0,2.4,1,0,5,6000
,60000001,0,7,0,0,2.4,1,0,5,9000
,60000001,0,8,0,0,2.4,1,0,5,15000
,60000001,0,9,0,0,2.4,1,0,5,24000
,60000001,0,10,0,0,2.4,1,0,5,40000
,60000001,0,11,0,0,2.4,1,0,5,60000
,60000001,0,12,0,0,2.4,1,0,5,98000
,60000001,0,13,0,0,2.4,1,0,5,140000
,60000001,0,14,0,0,2.4,1,0,5,186000
,60000001,0,15,0,0,2.4,1,0,5,236000
,60000001,0,16,0,0,2.4,1,0,5,290000
,60000001,0,17,0,0,2.4,1,0,5,349000
,60000001,0,18,0,0,2.4,1,0,5,413000
,60000001,0,19,0,0,2.4,1,0,5,482000
,60000001,0,20,0,0,2.4,1,0,5,556000
,60000001,0,21,0,0,2.4,1,0,5,636000
,60000001,0,22,0,0,2.4,1,0,5,722000
,60000001,0,23,0,0,2.4,1,0,5,814000
,60000001,0,24,0,0,2.4,1,0,5,912000
,60000001,0,25,0,0,2.4,1,0,5,1017000
,60000001,0,26,0,0,2.4,1,0,5,1129000
,60000001,0,27,0,0,2.4,1,0,5,1248000
,60000001,0,28,0,0,2.4,1,0,5,1374000
,60000001,0,29,0,0,2.4,1,0,5,1508000
,60000001,0,30,0,0,2.4,1,0,5,1650000
,60000001,0,31,0,0,2.4,1,0,5,1800000
,60000001,0,32,0,0,2.4,1,0,5,1958000
,60000001,0,33,0,0,2.4,1,0,5,2125000
,60000001,0,34,0,0,2.4,1,0,5,2301000
,60000001,0,35,0,0,2.4,1,0,5,2486000
,60000001,0,36,0,0,2.4,1,0,5,2680000
,60000001,0,37,0,0,2.4,1,0,5,2884000
,60000001,0,38,0,0,2.4,1,0,5,3098000
