note,id,avatar_up,avatar_down,avatar_offsetX,avatar_offsetY,trigger_type,active_num,active_cd,destroy,delUpDown,tar_type,tar_id,skill_id,script_id,qte_sprite,callback,callback_param,
注释,参数id,上层皮肤id,下层皮肤id,上下皮肤X偏移,上下皮肤Y偏移,触发方式(-1:不触发 1:碰撞 2:QTE 3:时间 4:点击 5:受击(扣激活次数) 6:死亡),激活次数(-1 不限),激活间隔(-1 不限),失效销毁,销毁上下层,目标类型(;分割)(1:玩家 2:副将 3:怪物),指定目标(;分割 -1:表示类型的全部),技能槽(-1 代表激活时没有技能),脚本ID(激活时的行为)(-1:无特殊行为),QTE精灵(;分割),回调(完全限定:友好名),回调参数(;分割),
string,number,number,number,number,number,number,number,number,boolean,boolean,string,string,number,number,string,string,string,
##参数说明##,,,,,,,,,,,目标指触发激活次逻辑物件的物体.,,,[1:拾取(掉落盒) 2:删除指定陷阱(招火幡) 3:添加指定陷阱(招雷幡)],触发方式:2,,,
掉落盒,1,-1,-1,0,0,1,-1,-1,TRUE,TRUE,1,-1,-1,-1,-1,-1,-1,
##正文##,,,,,,,,,,,,,,,,,,
掉落盒,1001,-1,-1,0,0,1,1,-1,TRUE,TRUE,1,-1,-1,1,-1,-1,-1,
栅栏,1002,30,31,1,0.25,-1,-1,-1,TRUE,TRUE,1;2,-1,-1,-1,-1,-1,-1,
1-3黄巾城门,1003,11,12,0,0,-1,-1,-1,TRUE,FALSE,3,-1,-1,-1,-1,-1,-1,
城门,1004,11,12,0,0,5,-1,-1,TRUE,FALSE,3,-1,-1,-1,-1,-1,-1,
1-6掉火1,1005,-1,-1,0,0,3,-1,2,TRUE,TRUE,1,-1,0,-1,-1,-1,-1,
1-6掉火2,1006,-1,-1,0,0,3,-1,4,TRUE,TRUE,1,-1,0,-1,-1,-1,-1,
1-6掉火3,1007,-1,-1,0,0,3,-1,6,TRUE,TRUE,1,-1,0,-1,-1,-1,-1,
招火幡,1008,-1,-1,0,0,6,1,-1,FALSE,TRUE,1,-1,-1,-1,-1,WidgetUtil:DelWidget,1005;1006;1007;-1;-1,
招雷幡,1009,-1,-1,0,0,3,-1,4,TRUE,TRUE,1;2,-1,-1,-1,-1,WidgetUtil:AddWidget,1006010,
1-6落雷,1010,-1,-1,0,0,3,1,-1,TRUE,TRUE,1,-1,0,-1,-1,-1,-1,
1-4守城,1011,14,35,0,0,-1,-1,-1,TRUE,FALSE,3,-1,-1,-1,-1,-1,-1,
1-4大炮,1012,-1,-1,0,0,3,-1,5,TRUE,TRUE,1,-1,0,-1,-1,-1,-1,
第二章的城门,1013,37,39,0,0,-1,-1,-1,TRUE,FALSE,3,-1,-1,-1,-1,-1,-1,
地钉机关,1014,-1,-1,0,0,3,-1,4,TRUE,TRUE,1,-1,0,-1,-1,-1,-1,
牢笼,1015,-1,-1,0,0,5,-1,-1,TRUE,FALSE,1,-1,-1,-1,-1,-1,-1,
