note,id,name,avatar,icon,type,kind,logic,camp,ai,hate_id,hate_case,lv,dizzyable,knockupable,repulseable,silentable,poisonable,fireable,invincible,confineable,can_be_pass_by_enemy,can_be_pass_by_self,showBigHp,showHP,skill0,skill1,skill2,skill3,skill4,skill5,skill6,is_multistate,state_switch
注释,怪物ID,怪物名字,怪物形象,怪物头像,类型(0:NPC 1:普通怪 2:精英怪 3:BOSS  4:逻辑物件 5:城门）,兵种(1:刀盾 2:枪骑 3:箭弩 4:锤车 5:策攻),逻辑物件,阵营,ai参数,仇恨id,仇恨感知最小值,等级,是否能被打晕,是否能被打飞,是否能被击退,是否能被沉默,是否能被中毒,是否能被灼烧,是否无敌,是否能被禁固,能否被敌方穿过,能否被已方穿过,是否显示大血条,血条管数(>0显示),普攻1,普攻2,普攻3,普攻4(无效),技能1,技能2,技能3,是否多态度兵种,状态切换开关(被攻击次数)
string,number,string,number,string,number,number,number,number,number,number,number,number,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,boolean,number,number,number,number,number,number,number,number,boolean,number
##测试关卡专用###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
测试张角,1000001,测试张角,101,head_a_115,3,-1,-1,3,10001,1,-1,6,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,1005,1006,1007,-1,3003,3001,3002,,
##正文##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
掉落盒,9001,掉落盒,25,head_a_112,4,-1,1001,4,-1,1,-1,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,-1,-1,-1,-1,-1,-1,-1,,
投石车,9002,投石车,1010,head_b_004,4,-1,1002,5,-1,1,-1,1,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,0,30,-1,-1,-1,-1,-1,-1,,
##1-1##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉朝走卒,1001001,汉朝走卒,1001,head_b_004,1,2,-1,3,10101,1,-1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,1,-1,-1,-1,-1,-1,-1,,
汉朝小兵,1001002,汉朝小兵,1002,head_b_004,1,2,-1,3,10101,1,-1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,2,-1,-1,-1,-1,-1,-1,,
官兵队长,1001003,官兵队长,2001,head_b_002,3,2,-1,3,10102,1,-1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,16,-1,-1,-1,4001,-1,-1,,
黄巾军锄头兵（友方）,1001004,黄巾军,1005,head_b_004,0,2,-1,9,10103,1,-1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,5,-1,-1,-1,-1,-1,-1,,
