note,cache_time,name
注释,缓存时间,资源ab名
string,number,string
,1000000,mask_001(texture2d).texture2d
,1000000,mask_002(texture2d).texture2d
,1000000,texturemask(shader).shader
,1000000,texturemask 1(shader).shader
,1000000,texturemask 2(shader).shader
,1000000,texturemask 3(shader).shader
,1000000,atlasmask(material).material
,1000000,outline2d(shader).shader
,1000000,outline2d(material).material
,1000000,Unlit-Premultiplied_Colored(TextureClip)(shader).shader
,1000000,Unlit-Premultiplied_Colored_1(shader).shader
,1000000,Unlit-Premultiplied_Colored_2(shader).shader
,1000000,Unlit-Premultiplied_Colored_3(shader).shader
,1000000,Unlit-Premultiplied_Colored(shader).shader
,1000000,Unlit-Text(TextureClip)(shader).shader
,1000000,Unlit-Text_1(shader).shader
,1000000,Unlit-Text_2(shader).shader
,1000000,Unlit-Text_3(shader).shader
,1000000,Unlit-Text(shader).shader
,1000000,Unlit-Transparent_Colored(Packed)(TextureClip)(shader).shader
,1000000,Unlit-Transparent_Colored(TextureClip)(shader).shader
,1000000,Unlit-Transparent_Colored_1(shader).shader
,1000000,Unlit-Transparent_Colored_2(shader).shader
,1000000,Unlit-Transparent_Colored_3(shader).shader
,1000000,Unlit-Transparent_Colored(shader).shader
,1000000,Unlit-Transparent_Masked_1(shader).shader
,1000000,Unlit-Transparent_Masked_2(shader).shader
,1000000,Unlit-Transparent_Masked_3(shader).shader
,1000000,Unlit-Transparent_Masked(shader).shader
,1000000,Unlit-Transparent_Packed_1(shader).shader
,1000000,Unlit-Transparent_Packed_2(shader).shader
,1000000,Unlit-Transparent_Packed_3(shader).shader
,1000000,Unlit-Transparent_Packed(shader).shader
,1000000,3KOLPostMainCharacter(shader).shader
,1000000,3KOLCharacter(shader).shader
,1000000,spine-bones-alphachannel(shader).shader
,1000000,2dfog(shader).shader
,1000000,colorcorrectioncurves2(shader).shader
,1000000,colorcorrectioncurvessimple2(shader).shader
,1000000,colorcorrectionselective2(shader).shader
,1000000,ghost(shader).shader
,1000000,rippleblur(shader).shader
,1000000,waitingui(gameobject).gameobject
,1000000,excessui(gameobject).gameobject
,1000000,maploadingui(gameobject).gameobject
