id,min_lv,max_lv,show_fight_min,show_fight_max,hero,mon,position,boss_hp,pass_time
id,最低等级,最高等级,显示战力最小值,显示战力最大值,副将列表（id_id）,怪物列表（time_id）,位置列表(time_pos),boss血量列表(time_hp百分比),通关时间
number,number,number,number,number,string,string,string,string,number
1,0,20,0,1000,101_106,5_1001001;10_1001001;15_1001001;20_1001001;25_1001001;30_1001001;35_1001001;40_1001001;45_1001001;50_1001001;55_1001001;60_1001001;,6_10;12_20;18_30;24_40;30_50;36_60;42_70;48_80;54_90;60_100,70_80;80_60;90_40;100_20,110
2,20,25,0,1000,101_106,5_1001001;10_1001001;15_1001001;20_1001001;25_1001001;30_1001001;35_1001001;40_1001001;45_1001001;50_1001001;55_1001001;60_1001001;,6_10;12_20;18_30;24_40;30_50;36_60;42_70;48_80;54_90;60_100,70_80;80_60;90_40;100_20,110
3,20,25,2500,3500,101_106,5_1001001;10_1001001;15_1001001;20_1001001;25_1001001;30_1001001;35_1001001;40_1001001;45_1001001;50_1001001;55_1001001;60_1001001;,6_10;12_20;18_30;24_40;30_50;36_60;42_70;48_80;54_90;60_100,70_80;80_60;90_40;100_20,110
4,25,30,5500,6500,101_106,5_1001001;10_1001001;15_1001001;20_1001001;25_1001001;30_1001001;35_1001001;40_1001001;45_1001001;50_1001001;55_1001001;60_1001001;,6_10;12_20;18_30;24_40;30_50;36_60;42_70;48_80;54_90;60_100,70_80;80_60;90_40;100_20,110
5,25,30,8500,9500,101_106,5_1001001;10_1001001;15_1001001;20_1001001;25_1001001;30_1001001;35_1001001;40_1001001;45_1001001;50_1001001;55_1001001;60_1001001;,6_10;12_20;18_30;24_40;30_50;36_60;42_70;48_80;54_90;60_100,70_80;80_60;90_40;100_20,110
6,30,35,11500,12500,101_106,5_1001001;10_1001001;15_1001001;20_1001001;25_1001001;30_1001001;35_1001001;40_1001001;45_1001001;50_1001001;55_1001001;60_1001001;,6_10;12_20;18_30;24_40;30_50;36_60;42_70;48_80;54_90;60_100,70_80;80_60;90_40;100_20,110
7,30,35,14500,15500,101_106,5_1001001;10_1001001;15_1001001;20_1001001;25_1001001;30_1001001;35_1001001;40_1001001;45_1001001;50_1001001;55_1001001;60_1001001;,6_10;12_20;18_30;24_40;30_50;36_60;42_70;48_80;54_90;60_100,70_80;80_60;90_40;100_20,110
8,40,45,17500,18500,101_106,5_1001001;10_1001001;15_1001001;20_1001001;25_1001001;30_1001001;35_1001001;40_1001001;45_1001001;50_1001001;55_1001001;60_1001001;,6_10;12_20;18_30;24_40;30_50;36_60;42_70;48_80;54_90;60_100,70_80;80_60;90_40;100_20,110
9,40,45,20500,21500,101_106,5_1001001;10_1001001;15_1001001;20_1001001;25_1001001;30_1001001;35_1001001;40_1001001;45_1001001;50_1001001;55_1001001;60_1001001;,6_10;12_20;18_30;24_40;30_50;36_60;42_70;48_80;54_90;60_100,70_80;80_60;90_40;100_20,110
10,45,50,23500,24500,101_106,5_1001001;10_1001001;15_1001001;20_1001001;25_1001001;30_1001001;35_1001001;40_1001001;45_1001001;50_1001001;55_1001001;60_1001001;,6_10;12_20;18_30;24_40;30_50;36_60;42_70;48_80;54_90;60_100,70_80;80_60;90_40;100_20,110
