note,id,type,section_id,scene_id,level,section,name,desc,section_hero,pre_scene,exp_scene,init_id,start_story_id,pass_story_id,monster_id,quest_id,reward_first_id,reward_id,ask_power,ask_level,ask_energy,ask_money,ask_rmb,ask_count,ask_time,begin_time,end_time
注释,参数id,地图类型（1:普通 2:精英  3:地狱 4:擂台 5:天梯 6:团战 7:急行战 8:兵临城下）,章节版本,场景id,难度,章节名称,关卡名称,关卡介绍,章节展示形象,前置关卡,额外关卡(地狱难度 填参数Id),初始表id,开始剧情id,通关剧情id,摆放表id,任务表id(;分割 区域任务第1 星级任务第2-4),首次奖励表id,奖励表id,战力限制,等级限制,体力要求,金币要求,元宝要求,次数上限(;分割)(顺序从0开始),时间限制,开始日期(没有限制留空),结束日期(没有限制留空)
string,number,number,number,number,number,string,string,string,number,number,number,number,number,number,number,string,number,number,number,number,number,number,number,string,number,string,string
,101,7,0,10002,1,活动,急行战,尽快击杀BOSS,60000001,-1,-1,1001,-1,-1,-1,101,1001,1001,-1,-1,-1,-1,-1,10,-1,,
,102,7,0,10002,2,活动,急行战,尽快击杀BOSS,60000001,-1,-1,1001,-1,-1,-1,101,1001,1001,-1,-1,-1,-1,-1,10,-1,,
,103,7,0,10002,3,活动,急行战,尽快击杀BOSS,60000001,-1,-1,1001,-1,-1,-1,101,1001,1001,-1,-1,-1,-1,-1,10,-1,,
,104,8,0,10001,1,活动,兵临城下,守住50波,60000001,-1,-1,1001,-1,-1,-1,102,1001,1001,-1,-1,-1,-1,-1,10,-1,,
##测试##,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,80001,1,1,8001,1,测试关1,张角测试,,60000001,-1,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,10,-1,,
#,80002,1,1,8002,1,测试关2,测试关2,,60000001,-1,-1,1001,-1,-1,-1,10001,1001,1001,-1,-1,-1,-1,-1,10,-1,,
##第一章##,,,,,,,,,,,,,,,,,,,,,,,,,,,
