note,id,name,trigger_times,condition_type1,condition_param1,condition_type2,condition_param2,condition_type3,condition_param3,condition_type4,condition_param4,condition_type5,condition_param5,condition_type6,condition_param6,action_type1,action_param1,action_type2,action_param2,action_type3,action_param3,action_type4,action_param4,action_type5,action_param5,action_type6,action_param6
注释,事件id,事件名称,可触发次数,条件类型1,条件参数1,条件类型2,条件参数2,条件类型3,条件参数3,条件类型4,条件参数4,条件类型5,条件参数5,条件类型6,条件参数6,行动类型1,行动参数1,行动类型2,行动参数2,行动类型3,行动参数3,行动类型4,行动参数4,行动类型5,行动参数5,行动类型6,行动参数6
string,number,string,number,number,string,number,string,number,string,number,string,number,string,number,string,number,string,number,string,number,string,number,string,number,string,number,string
##1-1##,,,,,,,,,,,,,,,,,,,,,,,,,,,
汉朝小兵,1001001,刷小兵,1,1,0,3,0.5;1,-1,-1,-1,-1,-1,-1,-1,-1,2,1001004;8;0.001,,,,,,,,,,
刷队长,1001002,刷队长,1,5,1001001,2,4;-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1001007;14;0,,,,,,,,,,
BOSS预警,1001003,BOSS预警,1,5,1001002,2,0;-1,-1,-1,-1,-1,-1,-1,-1,-1,6,,0,,0,,0,,0,,0,
##1-2##,,,,,,,,,,,,,,,,,,,,,,,,,,,
剧情事件,1002001,触发剧情,1,1,1002004,4,20,-1,-1,-1,-1,-1,-1,-1,-1,5,1002101,0,,0,,0,,0,,0,
##1-3##,,,,,,,,,,,,,,,,,,,,,,,,,,,
自爆第1波（锄头自爆）（血量）80,1003001,刷自爆小兵,1,1,1003007,4,80,-1,-1,-1,-1,-1,-1,-1,-1,2,1003007;13.83;0.69,0,,0,,0,,0,,0,
自爆第2波（枪兵自爆）（血量）60,1003002,刷自爆小兵,1,1,1003007,4,60,-1,-1,-1,-1,-1,-1,-1,-1,2,1003007;13.83;0.69,0,,0,,0,,0,,0,
自爆第3波（枪兵自爆）（血量）30,1003003,刷自爆小兵,1,1,1003007,4,30,-1,-1,-1,-1,-1,-1,-1,-1,2,1003007;13.83;0.69,0,,0,,0,,0,,0,
刷董卓-对话,1003004,董卓对话,1,1,0,3,4.5;0,-1,-1,-1,-1,-1,-1,-1,-1,5,1003201,,,,,,,,,,
##1-3战中剧情播放##,,,,,,,,,,,,,,,,,,,,,,,,,,,
播放剧情,1003010,刷怪对话剧情,1,1,0,3,3.48;.93,-1,-1,-1,-1,-1,-1,-1,-1,5,1003101,0,,0,,0,,0,,0,
##1-4##,,,,,,,,,,,,,,,,,,,,,,,,,,,
触发张宝召木头人,1004001,触发张宝召木头人,1,1,1004007,3,10;0,-1,-1,-1,-1,-1,-1,-1,-1,5,1004101,0,,0,,0,,0,,0,
张宝放技能召唤小兵1,1004002,触发张宝召木头人,99,1,1004007,8,end;4005,-1,-1,-1,-1,-1,-1,-1,-1,2,1004009;4;0,0,,0,,0,,0,,0,
##1-6##,,,,,,,,,,,,,,,,,,,,,,,,,,,
凑数小兵1,1006001,凑数小兵1,1,1,0,3,10;2,-1,-1,-1,-1,-1,-1,-1,-1,2,1006006;20;1,2,1006007;20;1,,,,,,,,
