note,id,buff_id,tar_type,tar_id,ultimate_count,ultimate_cd,can_relive,relive_money,hero_count,drug_id,drug_count,hp_tar_type,hp_tar_id,see_hp,next_time
注释,参数id,效果id(;分割),目标类型(0:全部 1:玩家 2:副将 3:怪物),指定目标(;分割 1类型时 -1:表示主角),狂斩次数,狂斩cd(秒),是否允许复活,复活元宝消耗(;分割),副将个数,药品id,药品次数,血条目标类型(0:全部 1:玩家 2:副将 3:NPC 4:普通 5:精英 6:boss),血条指定目标(;分割 1类型时 空:表示全部),是否可见血量,过场倒计时(秒)
string,number,string,number,string,number,number,bool,string,number,number,number,number,string,bool,number
,1,101,1,1;2,3,6,TRUE,10;20;30,2,10300000,10,1,1;2,FALSE,30
##测试##,,,,,,,,,,,,,,,
,101,101;102,1,-1,3,6,TRUE,10;20;30,2,10300000,10,1,-1,FALSE,30
##正文##,,,,,,,,,,,,,,,
普通关,1001,-1,1,-1,3,6,TRUE,50;100;200;200;200;200;200;200;200;200;200;200;200;200;200,3,10300000,3,1,-1,TRUE,30
精英关,1002,-1,1,-1,3,6,TRUE,50;100;200;200;200;200;200;200;200;200;200;200;200;200;200,3,10300000,3,1,-1,TRUE,30
不许带副将,1003,-1,1,-1,3,6,TRUE,50;100;200;200;200;200;200;200;200;200;200;200;200;200;200,0,10300000,3,1,-1,TRUE,30
第1-1关,1004,-1,1,-1,0,-1,TRUE,50;100;200;200;200;200;200;200;200;200;200;200;200;200;200,0,10300000,-1,1,-1,TRUE,30
第2-5关,1005,-1,1,-1,3,6,TRUE,50;100;200;200;200;200;200;200;200;200;200;200;200;200;200,0,10300000,-1,1,-1,TRUE,30
第1-6关卡（精英）,1006,-1,1,-1,3,6,TRUE,50;100;200;200;200;200;200;200;200;200;200;200;200;200;200,0,10300000,3,1,-1,TRUE,30
第1-2关,1007,-1,1,-1,1,6,TRUE,50;100;200;200;200;200;200;200;200;200;200;200;200;200;200,0,10300000,-1,1,-1,TRUE,30
