 ,id,name,born_pos,area_id1,resource_name1,area_id2,resource_name2,area_id3,resource_name3,area_id4,resource_name4,area_id5,resource_name5,area_id6,resource_name6,area_id7,resource_name7,area_id8,resource_name8
注释,场景ID,场景名称,主角出生位置,区域1,场景资源1,区域2,场景资源2,区域3,场景资源3,区域4,场景资源4,区域5,场景资源5,区域6,场景资源6,区域7,场景资源7,区域8,场景资源8
string,number,string,number,number,string,number,string,number,string,number,string,number,string,number,string,number,string,number,string
测试场景,8001,测试,4,100001,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata
测试场景,8002,测试,4,100001,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata
黄巾乱1,1001,黄巾乱1,4,100101,assetbundle/Huangjinluan(scenemapdata).scenemapdata,100102,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata
黄巾乱2,1002,黄巾乱2,4,100201,assetbundle/Huangjinluan_a(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata
黄巾乱3,1003,黄巾乱3,4,100301,assetbundle/Huangjinluan(scenemapdata).scenemapdata,100302,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata
黄巾乱4,1004,黄巾乱4,3,100401,assetbundle/Huangjinluan_b(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata
黄巾乱5,1005,黄巾乱5,8,100501,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata
黄巾乱6,1006,黄巾乱6,2,100601,assetbundle/Huangjinluan(scenemapdata).scenemapdata,100602,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata
