id,name,desc,icon,is_break_self,is_break_hurt,skill_datas,skill_type,unlock_cost,unlock_level
技能ID,技能名称,技能描述,技能图标,是否允许被自身打断,是否会被伤害打断,技能数据id列表(不同等级以;号分隔),技能类型（1：主动技 2:被动技 3:合击技）,解锁消耗,解锁等级
number,string,string,string,bool,bool,string,number,string,number
1,普通枪兵,普通攻击,,FALSE,TRUE,1,1,,1
2,普通长枪兵,普通攻击,,FALSE,TRUE,2,1,,1
3,宫殿卫队长,普通攻击,,FALSE,TRUE,3,1,,1
10003,宫殿卫队长,普通攻击,,FALSE,TRUE,10003,1,,1
4,普通弓兵,普通攻击,,FALSE,TRUE,4,1,,1
5,黄巾军锄头兵,普通攻击,,FALSE,TRUE,5,1,,1
6,黄巾军枪兵,普通攻击,,FALSE,TRUE,6,1,,1
7,通用猛将怪,普通攻击,,FALSE,TRUE,7,1,,1
8,通用输出怪,普通攻击,,FALSE,TRUE,8,1,,1
9,通用策士怪,普通攻击,,FALSE,TRUE,9,1,,1
10,黄巾军弓兵,普通攻击,,FALSE,TRUE,10,1,,1
11,木头人,普通攻击,,FALSE,TRUE,11,1,,1
12,百姓,普通攻击,,FALSE,TRUE,12,1,,1
13,普通刀兵,普通攻击,,FALSE,TRUE,13,1,,1
14,蒙面刺客,普通攻击,,FALSE,TRUE,14,1,,1
15,宫殿侍卫刀兵,普通攻击,,FALSE,TRUE,15,1,,1
16,宫殿侍卫枪兵,普通攻击,,FALSE,TRUE,16,1,,1
17,宫殿侍卫弓兵,普通攻击,,FALSE,TRUE,17,1,,1
18,普通策士,普通攻击,,FALSE,TRUE,18,1,,1
19,皇宫侍女1,普通攻击,,FALSE,TRUE,19,1,,1
20,普通骑兵,普通攻击,,FALSE,TRUE,20,1,,1
21,流寇/地痞,普通攻击,,FALSE,TRUE,21,1,,1
22,刀盾兵,普通攻击,,FALSE,TRUE,22,1,,1
23,普通锤兵,普通攻击,,FALSE,TRUE,23,1,,1
24,藤甲兵,普通攻击,,FALSE,TRUE,24,1,,1
25,重骑兵,普通攻击,,FALSE,TRUE,25,1,,1
26,普通弩兵,普通攻击,,FALSE,TRUE,26,1,,1
27,锤盾兵,普通攻击,,FALSE,TRUE,27,1,,1
28,投石车,普通攻击,,FALSE,TRUE,28,1,,1
29,象骑兵,普通攻击,,FALSE,TRUE,29,1,,1
30,床弩,普通攻击,,FALSE,TRUE,30,1,,1
31,大炮,普通攻击,,FALSE,TRUE,31,1,,1
32,火球,普通攻击,,FALSE,FALSE,32,1,,1
33,精英弩炮手,普通攻击,,FALSE,TRUE,33,1,,1
34,皇宫侍女2,普通攻击,,FALSE,TRUE,34,1,,1
35,雷电,普通攻击,,FALSE,FALSE,55,1,,1
53,药水,药水,,TRUE,TRUE,53,1,,1
54,自爆技能,自爆技能,,FALSE,FALSE,54,1,,1
55,自爆技能-小威力,自爆技能,,FALSE,FALSE,56,1,,1
56,精英怪弩手,普通攻击,,FALSE,TRUE,57,1,,1
57,远程精英怪,普通攻击,,FALSE,TRUE,58,1,,1
58,精英怪03,普通攻击,,FALSE,TRUE,59,1,,1
60,地刺,普通攻击,,FALSE,TRUE,60,1,,1
101,赵云普攻1,赵云普攻1,,TRUE,TRUE,101,1,,1
102,赵云普攻2,赵云普攻2,,TRUE,TRUE,102,1,,1
103,赵云普攻3,赵云普攻3,,TRUE,TRUE,103,1,,1
104,赵云普攻4,赵云普攻4,,TRUE,TRUE,104,1,,1
105,顺势一击,顺势蓄力发动猛击，瞬间造成高额伤害并附带击退效果。,skill_001,FALSE,FALSE,1001;1002;1003;1004;1005;1006;1007;1008;1009;1010;1011;1012;1013;1014;1015;1016;1017;1018;1019;1020,1,,1
