note,id,name,desc,target,break_rate,break_move,player_show,hero_show,npc_show,boss_show,logicobject_show,show,,is_loop,loop_time,is_spasmodic,deltatime,buff_type,mutex_id,mutex_lv,script_type,param1,param2,param3,param4,param5,param6,param7,param8,param9
注释,效果ID,效果名称,效果描述,效果生效目标（1：技能施放者；2：受击者；3：技能施放者团队),打断其它技能的概率,是否打断行走,当目标是玩家时的表现,当目标是副将时的表现,当目标是npc时的表现,当目标是boss时的表现,当目标是逻辑物件时的表现,默认表现(目标身上）,,是否持续效果,持续时间,是否间隔发作,间隔时间,buff类型(1:Buff; 2:DeBuff; 3:护盾Buff; 4:晕眩buff;) ,互斥id（用于互斥关系判断）,互斥级别,脚本类型,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
string,number,string,string,number,number,bool,string,string,string,string,string,string,,bool,number,bool,number,number,number,number,number,number,number,number,number,number,number,number,number,number
##正文##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,普通枪兵,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,2,普通长枪兵,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,3,宫殿卫队长,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,4,普通弓兵,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,5,黄巾军锄头兵,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,6,黄巾军枪兵,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,7,通用猛将怪,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
