id,name,condition_id,desc,cd,target_relation,show,effect_addition,aeffect_addition,citta_id,hate,script_type,param1,param2,param3,param4,param5,range_positive0,range_negative0,max_target_number0,buffid0_1,buffid0_2,buffid0_3,buffid0_4,buffid0_5,buffid0_6,buffid0_7,range_positive1,range_negative1,max_target_number1,buffid1_1,buffid1_2,buffid1_3,buffid1_4,buffid1_5,buffid1_6,buffid1_7,range_positive2,range_negative2,max_target_number2,buffid2_1,buffid2_2,buffid2_3,buffid2_4,buffid2_5,buffid2_6,buffid2_7,range_positive3,range_negative3,max_target_number3,buffid3_1,buffid3_2,buffid3_3,buffid3_4,buffid3_5,buffid3_6,buffid3_7,range_positive4,range_negative4,max_target_number4,buffid4_1,buffid4_2,buffid4_3,buffid4_4,buffid4_5,buffid4_6,buffid4_7,range_positive5,range_negative5,max_target_number5,buffid5_1,buffid5_2,buffid5_3,buffid5_4,buffid5_5,buffid5_6,buffid5_7,range_positive6,range_negative6,max_target_number6,buffid6_1,buffid6_2,buffid6_3,buffid6_4,buffid6_5,buffid6_6,buffid6_7,range_positive7,range_negative7,max_target_number7,buffid7_1,buffid7_2,buffid7_3,buffid7_4,buffid7_5,buffid7_6,buffid7_7,need_lv,level_up_cost
技能数据ID,技能名称,释放条件(消耗),技能描述,冷却时间(秒),目标关系(0:自己 1:友好的 2：敌对的 3：中立的),表现资源,伤害加成(%),附加伤害加成(%),心法id,仇恨累加值,技能类型（1.普通技能2.子弹技3.冲锋技4.瞬发技),参数1,参数2,参数3,参数4,参数5,前方攻击范围1,后方攻击范围0,最大目标数0,分段技能效果数据ID1,分段技能效果数据ID2,分段技能效果数据ID3,分段技能效果数据ID4,分段技能效果数据ID5,分段技能效果数据ID6,分段技能效果数据ID7,前方攻击范围1,后方攻击范围1,最大目标数1,效果数据ID1(第1次攻击）,效果数据ID2(第1次攻击）,效果数据ID3(第1次攻击）,效果数据ID4(第1次攻击）,效果数据ID5(第1次攻击）,效果数据ID6(第1次攻击）,效果数据ID7(第1次攻击）,前方攻击范围2,后方攻击范围2,最大目标数2,效果数据ID1(第2次攻击）,效果数据ID2(第2次攻击）,效果数据ID3(第2次攻击）,效果数据ID4(第2次攻击）,效果数据ID5(第2次攻击）,效果数据ID6(第2次攻击）,效果数据ID7(第2次攻击）,前方攻击范围3,后方攻击范围3,最大目标数3,效果数据ID1(第3次攻击）,效果数据ID2(第3次攻击）,效果数据ID3(第3次攻击）,效果数据ID4(第3次攻击）,效果数据ID5(第3次攻击）,效果数据ID6(第3次攻击）,效果数据ID7(第3次攻击）,前方攻击范围4,后方攻击范围4,最大目标数4,效果数据ID1(第4次攻击）,效果数据ID2(第4次攻击）,效果数据ID3(第4次攻击）,效果数据ID4(第4次攻击）,效果数据ID5(第4次攻击）,效果数据ID6(第4次攻击）,效果数据ID7(第4次攻击）,前方攻击范围5,后方攻击范围5,最大目标数5,效果数据ID1(第5次攻击）,效果数据ID2(第5次攻击）,效果数据ID3(第5次攻击）,效果数据ID4(第5次攻击）,效果数据ID5(第5次攻击）,效果数据ID6(第5次攻击）,效果数据ID7(第5次攻击）,前方攻击范围6,后方攻击范围6,最大目标数6,效果数据ID1(第6次攻击）,效果数据ID2(第6次攻击）,效果数据ID3(第6次攻击）,效果数据ID4(第6次攻击）,效果数据ID5(第6次攻击）,效果数据ID6(第6次攻击）,效果数据ID7(第6次攻击）,前方攻击范围7,后方攻击范围7,最大目标数7,效果数据ID1(第7次攻击）,效果数据ID2(第7次攻击）,效果数据ID3(第7次攻击）,效果数据ID4(第7次攻击）,效果数据ID5(第7次攻击）,效果数据ID6(第7次攻击）,效果数据ID7(第7次攻击）,需要人物等级,升级消耗
number,string,number,string,number,number,string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number,string
#正文##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,普通枪兵,2,,2.5,2,assetbundle/tx_qb01_attack01(matinee).matinee,0,0,-1,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.2,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
2,普通长枪兵,2,,2,2,assetbundle/tx_qb02_attack01(matinee).matinee,0,0,-1,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.5,0,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
3,宫殿卫队长,2,,2,2,assetbundle/tx_sw04_attack01(matinee).matinee,0,0,-1,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.8,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
10003,宫殿卫队长,2,,2,2,assetbundle/tx_sw04_attack02(matinee).matinee,0,0,-1,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.8,0,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
4,普通弓兵,2,,4,2,assetbundle/tx_gb01_attack01(matinee).matinee,0,0,-1,0,2,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4.8,0,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
5,黄巾军锄头兵,2,,3,2,assetbundle/tx_hjj01_attack01(matinee).matinee,0,0,-1,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,0,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
6,黄巾军枪兵,2,,2.5,2,assetbundle/tx_hjj02_attack01(matinee).matinee,0,0,-1,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.2,0,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
7,通用猛将怪,2,,3.2,2,assetbundle/tx_mj01_attack01(matinee).matinee,0,0,-1,0,1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2.3,0,1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
