level,push_num,shop_item_num,shop_gift_num,shop_treasure_num,shop_treasure_ref_num,buy_energy_num,buy_citta_num,buy_exp_num,desc
等级,急行战次数,商城道具购买次数,商城礼包购买次数,商城奇珍购买次数,商城最大刷新次数,购买体力次数,购买心法次数,购买经验丹次数,描述
number,number,number,number,number,number,number,number,number,string
0,5,5,5,5,1,1,1,1,1
1,6,6,6,6,2,2,2,2,2
2,7,7,7,7,3,3,3,3,3
3,8,8,8,8,4,4,4,4,4
4,9,9,9,9,5,5,5,5,5
5,10,10,10,10,6,6,6,6,6
6,10,11,11,11,7,7,7,7,7
7,10,12,12,12,8,8,8,8,8
8,10,13,13,13,9,9,9,9,9
9,10,14,14,14,10,10,10,10,10
10,10,15,15,15,11,11,11,11,11
11,10,16,16,16,12,12,12,12,12
12,10,17,17,17,13,13,13,13,13
